userid,gender,age,agegroup,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,longitude,latitude,country,district,province,city
user-drc-4192180-977,Female,31,30 - 39,Health clinic,Health clinic,Satisfied,Sanitation,Sanitation,Roads,Electricity,Daily,No,Never,17.36918,-3.3268,Democratic Republic of Congo,,Bandundu,
user-drc-6150687-291,Male,20,20 - 29,Electricity,Health clinic,Dissatisfied,School,Electricity,Electricity,Roads,Daily,No,Never,17.36918,-3.3268,Democratic Republic of Congo,,Bandundu,
user-drc-1828557-418,Male,32,30 - 39,School,School,Dissatisfied,School,Electricity,School,School,Daily,No,Once a year,18.80762,0.5693591,Democratic Republic of Congo,,Equateur,
user-drc-1604463-643,Female,42,40 - 49,Water,Health clinic,Neutral,Water,Electricity,School,Roads,Daily,No,Never,28.84508,-2.515364,Democratic Republic of Congo,Bagira,Sud Kivu,Bukavu
user-drc-5621827-159,Male,26,20 - 29,Sanitation,Water,Neutral,Water,School,School,Water,Daily,Yes,Never,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-4271542-1203,Male,47,40 - 49,Roads,Health clinic,Dissatisfied,School,Water,Roads,School,Daily,No,Never,29.22046,-1.658501,Democratic Republic of Congo,Birere N,Nord Kivu,Goma
user-drc-1292418-292,Female,44,40 - 49,Sanitation,School,Neutral,Health clinic,Water,Roads,Electricity,Daily,Yes,Once a week,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-7640979-894,Male,43,40 - 49,School,School,Dissatisfied,School,Roads,Electricity,Health clinic,Daily,No,Once a year,26.98923,-5.384138,Democratic Republic of Congo,Tanganyika,Katanga,Kongolo
user-drc-9899338-106,Female,24,20 - 29,School,School,Dissatisfied,School,School,Water,School,Once a week,Yes,Never,25.11,0.32,Democratic Republic of Congo,,Oriental,
user-drc-1869177-1105,Male,23,20 - 29,School,School,Satisfied,School,School,School,School,,Yes,Once a week,25.11,0.32,Democratic Republic of Congo,,Oriental,
user-drc-4280408-855,Male,25,20 - 29,School,School,Satisfied,Roads,Roads,Water,Water,Daily,Yes,Once a month,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
